Sequence number	Annotation information	Subcellular location	Probability
223	>ENST00000302907.9_0	Ribosome	0.571195
224	>ENST00000303553.5_0	Ribosome	0.999929
225	>ENST00000307367.2_0	Endoplasmic reticulum	0.655837
226	>ENST00000382647.7_0	Ribosome	0.91897
227	>ENST00000304921.10_0	Cytosol/Cytoplasm	0.880174
228	>ENST00000395601.7_0	Ribosome	0.999769
229	>ENST00000307266.7_0	Ribosome	0.943763
230	>ENST00000311892.10_0	Ribosome	1
231	>ENST00000311111.11_0	Ribosome	0.964668
232	>ENST00000308639.13_0	Cytosol/Cytoplasm	0.532317
233	>ENST00000308774.6_0	Ribosome	0.999984
234	>ENST00000309451.7_0	Ribosome	0.999958
235	>ENST00000322753.7_0	Ribosome	0.690334
236	>ENST00000310078.12_0	Cytosol/Cytoplasm	0.659869
237	>ENST00000318312.12_0	Cytosol/Cytoplasm	0.663415
238	>ENST00000307839.9_0	Endoplasmic reticulum	0.311991
239	>ENST00000308961.4_0	Ribosome	0.999964
240	>ENST00000314133.4_0	Ribosome	1
241	>ENST00000321777.5_0	Cytosol/Cytoplasm	0.97086
242	>ENST00000317578.7_0	Cytosol/Cytoplasm	0.733969
243	>ENST00000313115.11_0	Ribosome	0.984718
244	>ENST00000321153.9_0	Ribosome	0.999646
245	>ENST00000327031.9_0	Cytosol/Cytoplasm	0.423309
246	>ENST00000314393.6_0	Cytosol/Cytoplasm	0.88342
247	>ENST00000509570.6_0	Endoplasmic reticulum	0.493096
248	>ENST00000341298.3_0	Ribosome	0.999769
249	>ENST00000320857.7_0	Ribosome	0.939643
250	>ENST00000372014.5_0	Ribosome	0.999992
251	>ENST00000328848.5_0	Cytosol/Cytoplasm	0.901464
252	>ENST00000371443.6_0	Ribosome	0.999998
253	>ENST00000370526.3_0	Cytosol/Cytoplasm	0.472378
254	>ENST00000329319.7_0	Endoplasmic reticulum	0.564962
255	>ENST00000330817.11_0	Ribosome	0.544999
256	>ENST00000331479.3_0	Ribosome	0.933217
257	>ENST00000328709.8_0	Ribosome	0.999639
258	>ENST00000329331.7_0	Ribosome	0.908638
259	>ENST00000327772.7_0	Ribosome	0.954877
260	>ENST00000328379.5_0	Ribosome	0.974414
261	>ENST00000329967.11_0	Endoplasmic reticulum	0.952976
262	>ENST00000330964.10_0	Ribosome	0.899108
263	>ENST00000377401.3_0	Ribosome	0.997239
264	>ENST00000332725.7_0	Ribosome	0.999751
265	>ENST00000399815.2_0	Cytosol/Cytoplasm	0.893174
266	>ENST00000333007.6_0	Endoplasmic reticulum	0.544341
267	>ENST00000337604.6_0	Endoplasmic reticulum	0.999997
268	>ENST00000332629.7_0	Ribosome	0.569741
269	>ENST00000428459.6_0	Ribosome	0.510438
270	>ENST00000302979.4_0	Ribosome	0.993632
271	>ENST00000296674.13_0	Cytosol/Cytoplasm	0.99972
272	>ENST00000379389.4_0	Cytosol/Cytoplasm	0.789494
273	>ENST00000341942.9_0	Ribosome	0.66176
274	>ENST00000355801.4_0	Ribosome	0.99846
275	>ENST00000339852.5_0	Ribosome	0.940485
276	>ENST00000354332.8_0	Ribosome	0.999889
277	>ENST00000355968.10_0	Endoplasmic reticulum	0.549595
278	>ENST00000329630.10_0	Cytosol/Cytoplasm	0.999726
279	>ENST00000356082.9_0	Endoplasmic reticulum	0.544148
280	>ENST00000354293.9_0	Ribosome	0.999786
281	>ENST00000394295.6_0	Cytosol/Cytoplasm	0.823508
282	>ENST00000359303.3_0	Ribosome	0.999895
283	>ENST00000355072.10_0	Cytosol/Cytoplasm	0.68433
284	>ENST00000356464.10_0	Ribosome	0.999952
285	>ENST00000334937.8_0	Cytosol/Cytoplasm	0.798445
286	>ENST00000368719.9_0	Ribosome	0.999982
287	>ENST00000361436.10_0	Ribosome	0.924213
288	>ENST00000316084.10_0	Cytosol/Cytoplasm	0.605077
289	>ENST00000355731.8_0	Cytosol/Cytoplasm	0.99999
290	>ENST00000355951.2_0	Cytosol/Cytoplasm	0.9978
291	>ENST00000370225.4_0	Cytosol/Cytoplasm	0.999651
292	>ENST00000322203.7_0	Cytosol/Cytoplasm	0.999523
293	>ENST00000361567.2_0	Cytosol/Cytoplasm	0.899503
294	>ENST00000400299.6_0	Ribosome	0.942799
295	>ENST00000361381.2_0	Endoplasmic reticulum	0.97697
296	>ENST00000361899.2_0	Cytosol/Cytoplasm	0.990152
297	>ENST00000373408.4_0	Ribosome	0.999797
298	>ENST00000374606.9_0	Cytosol/Cytoplasm	0.940212
299	>ENST00000341947.6_0	Endoplasmic reticulum	0.995843
300	>ENST00000374897.3_0	Endoplasmic reticulum	0.999926
301	>ENST00000375528.8_0	Cytosol/Cytoplasm	0.999641
302	>ENST00000258105.8_0	Ribosome	0.999566
303	>ENST00000361874.7_0	Cytosol/Cytoplasm	0.999603
304	>ENST00000222266.2_0	Ribosome	0.999741
305	>ENST00000358514.9_0	Cytosol/Cytoplasm	0.999485
306	>ENST00000302422.4_0	Ribosome	0.999993
307	>ENST00000388857.8_0	Ribosome	0.997695
308	>ENST00000352066.7_0	Ribosome	0.99324
309	>ENST00000330233.11_0	Cytosol/Cytoplasm	0.645954
310	>ENST00000225504.8_0	Ribosome	0.999987
311	>ENST00000263774.9_0	Ribosome	0.999582
312	>ENST00000330636.8_0	Cytosol/Cytoplasm	0.386923
313	>ENST00000398706.6_0	Cytosol/Cytoplasm	0.999583
314	>ENST00000398881.3_0	Endoplasmic reticulum	0.996855
315	>ENST00000318059.8_0	Endoplasmic reticulum	0.999996
316	>ENST00000430157.6_0	Ribosome	0.997808
317	>ENST00000381722.1_0	Cytosol/Cytoplasm	0.601318
318	>ENST00000429985.1_0	Ribosome	0.994927
319	>ENST00000411646.1_0	Ribosome	0.999306
320	>ENST00000379102.7_0	Cytosol/Cytoplasm	0.991212
321	>ENST00000215754.8_0	Ribosome	0.787482
322	>ENST00000292475.7_0	Ribosome	0.926576
323	>ENST00000290299.7_0	Cytosol/Cytoplasm	0.928538
324	>ENST00000296102.8_0	Cytosol/Cytoplasm	0.98853
325	>ENST00000393183.7_0	Ribosome	0.999996
326	>ENST00000290079.9_0	Ribosome	0.999949
327	>ENST00000361441.5_0	Cytosol/Cytoplasm	0.980931
328	>ENST00000578528.1_0	Endoplasmic reticulum	0.89886
329	>ENST00000581066.2_0	Cytosol/Cytoplasm	0.999485
330	>ENST00000301457.2_0	Cytosol/Cytoplasm	0.999878
331	>ENST00000612494.4_0	Cytosol/Cytoplasm	0.997982
332	>ENST00000541790.3_0	Ribosome	0.998586
333	>ENST00000618958.1_0	Ribosome	1
334	>ENST00000610798.4_0	Ribosome	0.994008
335	>ENST00000613854.1_0	Ribosome	0.998437
336	>ENST00000615966.1_0	Ribosome	0.797721
337	>ENST00000377733.3_0	Ribosome	0.999586
338	>ENST00000359611.3_0	Ribosome	0.999551
339	>ENST00000347869.7_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.663305

340	>ENST00000314748.10_1	Cytosol/Cytoplasm	0.993746
341	>ENST00000257745.8_1	Cytosol/Cytoplasm	0.999694
342	>ENST00000304543.9_1	Cytosol/Cytoplasm	0.999317
343	>ENST00000005558.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.944376

344	>ENST00000379989.6_1	Endoplasmic reticulum	0.999935
345	>ENST00000265727.11_1	Cytosol/Cytoplasm	0.475228
346	>ENST00000360793.8_1	Ribosome	0.952616
347	>ENST00000262013.12_1	Cytosol/Cytoplasm	0.942178
348	>ENST00000399640.3_1	Ribosome	0.999803
349	>ENST00000262304.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

350	>ENST00000261534.8_1	Ribosome	0.999801
351	>ENST00000012134.7_1	Cytosol/Cytoplasm	0.890507
352	>ENST00000312413.10_1	Endoplasmic reticulum	0.999862
353	>ENST00000261647.10_1	Cytosol/Cytoplasm	0.332233
354	>ENST00000265748.7_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

355	>ENST00000013125.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.411621

356	>ENST00000321356.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

357	>ENST00000228264.10_1	Cytosol/Cytoplasm	0.399129
358	>ENST00000264167.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

359	>ENST00000024061.7_1	Endoplasmic reticulum	0.999956
360	>ENST00000025008.10_1	Cytosol/Cytoplasm	0.99948
361	>ENST00000372899.5_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.709382

362	>ENST00000536306.5_1	Cytosol/Cytoplasm	0.765678
363	>ENST00000295736.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

364	>ENST00000344135.5_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.999997

365	>ENST00000230640.10_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.850905

366	>ENST00000393524.6_1	Cytosol/Cytoplasm	0.659636
367	>ENST00000355780.9_1	Ribosome	0.845575
368	>ENST00000045083.6_1	Cytosol/Cytoplasm	0.883806
369	>ENST00000340096.11_1	Cytosol/Cytoplasm	0.931069
370	>ENST00000264160.8_1	Cytosol/Cytoplasm	0.972488
371	>ENST00000299275.10_1	Cytosol/Cytoplasm	0.87383
372	>ENST00000341472.9_1	Endoplasmic reticulum	0.629508
373	>ENST00000264279.10_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

374	>ENST00000351797.9_1	Cytosol/Cytoplasm	0.999664
375	>ENST00000262189.11_1	Cytosol/Cytoplasm	0.702376
376	>ENST00000261211.8_1	Ribosome	0.886141
377	>ENST00000360982.2_1	Ribosome	0.999542
378	>ENST00000264779.6_1	Cytosol/Cytoplasm	0.724187
379	>ENST00000262291.9_1	Ribosome	0.941393
380	>ENST00000378164.7_1	Cytosol/Cytoplasm	0.703111
381	>ENST00000346322.9_1	Cytosol/Cytoplasm	0.997467
382	>ENST00000338595.7_1	Endoplasmic reticulum	0.633556
383	>ENST00000181839.10_1	Cytosol/Cytoplasm	0.796318
384	>ENST00000344140.5_1	Cytosol/Cytoplasm	0.999487
385	>ENST00000370331.5_1	Ribosome	0.810591
386	>ENST00000263736.5_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.895961

387	>ENST00000326448.12_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.509051

388	>ENST00000338963.6_1	Cytosol/Cytoplasm	0.890564
389	>ENST00000313367.7_1	Cytosol/Cytoplasm	0.999428
390	>ENST00000262752.5_1	Cytosol/Cytoplasm	0.482099
391	>ENST00000251607.11_1	Cytosol/Cytoplasm	0.9994
392	>ENST00000399788.6_1	Cytosol/Cytoplasm	0.501569
393	>ENST00000263388.7_1	Endoplasmic reticulum	0.999688
394	>ENST00000265361.8_1	Ribosome	0.999479
395	>ENST00000216288.11_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.773109

396	>ENST00000346964.6_1	Ribosome	0.642406
397	>ENST00000228284.8_1	Cytosol/Cytoplasm	0.564998
398	>ENST00000338432.11_1	Endoplasmic reticulum	0.636028
399	>ENST00000357428.5_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.640509

400	>ENST00000307729.12_1	Cytosol/Cytoplasm	0.788682
401	>ENST00000265113.9_1	Endoplasmic reticulum	0.99991
402	>ENST00000243326.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.999996

403	>ENST00000401558.6_1	Cytosol/Cytoplasm	0.952404
404	>ENST00000344229.7_1	Endoplasmic reticulum	0.99988
405	>ENST00000277141.10_1	Cytosol/Cytoplasm	0.999166
406	>ENST00000377767.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.999999

407	>ENST00000262903.9_1	Cytosol/Cytoplasm	0.762973
408	>ENST00000348824.11_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.784532

409	>ENST00000377227.8_1	Ribosome	0.999389
410	>ENST00000377759.8_1	Cytosol/Cytoplasm	0.99577
411	>ENST00000423823.6_1	Cytosol/Cytoplasm	0.908603
412	>ENST00000261530.11_1	Cytosol/Cytoplasm	0.935879
413	>ENST00000264198.5_1	Ribosome	0.463776
414	>ENST00000308271.13_1	Cytosol/Cytoplasm	0.790099
415	>ENST00000261183.8_1	Cytosol/Cytoplasm	0.45716
416	>ENST00000254442.7_1	Endoplasmic reticulum	0.524786
417	>ENST00000399332.6_1	Cytosol/Cytoplasm	0.651765
418	>ENST00000313478.12_1	Ribosome	0.999746
419	>ENST00000263688.4_1	Cytosol/Cytoplasm	0.968161
420	>ENST00000374688.5_1	Cytosol/Cytoplasm	0.866467
421	>ENST00000337656.8_1	Cytosol/Cytoplasm	0.977579
422	>ENST00000397906.6_1	Cytosol/Cytoplasm	0.999559
423	>ENST00000216044.10_1	Endoplasmic reticulum	0.809663
424	>ENST00000216373.10_1	Cytosol/Cytoplasm	0.670021
425	>ENST00000216517.10_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.993242

426	>ENST00000343455.7_1	Cytosol/Cytoplasm	0.61858
427	>ENST00000216832.9_1	Cytosol/Cytoplasm	0.661104
428	>ENST00000217073.6_1	Ribosome	0.623277
429	>ENST00000372801.5_1	Cytosol/Cytoplasm	0.522683
430	>ENST00000320876.10_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

431	>ENST00000325971.12_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.642907

432	>ENST00000262173.7_1	Cytosol/Cytoplasm	0.976759
433	>ENST00000389658.4_1	Nucleus/Exosome/Dendrite/Mitochondrion	0.48433

434	>ENST00000218089.13_1	Cytosol/Cytoplasm	0.495595
435	>ENST00000218200.12_1	Ribosome	0.466947
436	>ENST00000322349.12_1	Ribosome	0.995123
437	>ENST00000370328.4_1	Cytosol/Cytoplasm	0.999637
438	>ENST00000281496.6_1	Ribosome	0.303184
439	>ENST00000311234.9_1	Cytosol/Cytoplasm	0.999503
440	>ENST00000261489.6_1	Ribosome	0.538271
441	>ENST00000360833.6_1	Cytosol/Cytoplasm	0.999677
442	>ENST00000299167.12_1	Cytosol/Cytoplasm	0.998702
443	>ENST00000261880.9_1	Cytosol/Cytoplasm	0.563198
444	>ENST00000325747.9_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

445	>ENST00000251250.7_1	Cytosol/Cytoplasm	0.739636
446	>ENST00000262096.13_1	Endoplasmic reticulum	0.993746
447	>ENST00000265433.7_1	Cytosol/Cytoplasm	0.805151
448	>ENST00000220849.9_1	Ribosome	0.449307
449	>ENST00000349830.8_1	Nucleus/Exosome/Dendrite/Mitochondrion	1

