ensembl_gene_id	Gene	log2FC	padj	gene_biotype
ENSG00000174886	NDUFA11	-2.81e-01	 1.68e-01	protein_coding
ENSG00000176595	KBTBD11	 1.07e-02	 9.86e-01	protein_coding
ENSG00000164366	CCDC127	 7.94e-02	 8.55e-01	protein_coding
ENSG00000260774	AC021087.3	-1.61e-02	 9.79e-01	lncRNA
ENSG00000139684	ESD	-3.61e-02	 9.38e-01	protein_coding
ENSG00000137815	RTF1	 1.52e-01	 7.30e-01	protein_coding
ENSG00000161082	CELF5	 2.84e-01	 5.51e-01	protein_coding
ENSG00000139505	MTMR6	 1.37e-01	 8.18e-01	protein_coding
ENSG00000137177	KIF13A	 4.36e-01	 2.74e-01	protein_coding
ENSG00000151876	FBXO4	-5.52e-01	 1.40e-01	protein_coding
ENSG00000266441	AP005205.2	-3.15e-01	 5.09e-01	lncRNA
ENSG00000256073	URB1-AS1	-5.05e-01	 1.93e-01	lncRNA
ENSG00000119318	RAD23B	 2.12e-01	 3.60e-01	protein_coding
ENSG00000148229	POLE3	 2.34e-02	 9.39e-01	protein_coding
ENSG00000127528	KLF2	-5.68e-02	 9.08e-01	protein_coding
ENSG00000166912	MTMR10	-5.63e-01	 1.50e-01	protein_coding
ENSG00000073578	SDHA	 1.54e-01	 4.57e-01	protein_coding
ENSG00000184979	USP18	 1.87e-01	 4.95e-01	protein_coding
ENSG00000137825	ITPKA	 4.78e-01	 2.21e-01	protein_coding
ENSG00000180011	ZADH2	 3.04e-01	 4.19e-01	protein_coding
ENSG00000088756	ARHGAP28	 1.01e-02	 9.81e-01	protein_coding
ENSG00000167196	FBXO22	-2.12e-01	 4.81e-01	protein_coding
ENSG00000198690	FAN1	-8.26e-02	 8.76e-01	protein_coding
ENSG00000124813	RUNX2	 8.70e-02	 8.91e-01	protein_coding
ENSG00000249915	PDCD6	 1.50e-01	 5.14e-01	protein_coding
ENSG00000169567	HINT1	-8.02e-01	 6.28e-12	protein_coding
ENSG00000065325	GLP2R	 3.01e-01	 3.69e-01	protein_coding
ENSG00000166979	EVA1C	-1.67e-01	 5.48e-01	protein_coding
ENSG00000196284	SUPT3H	-4.05e-01	 2.52e-01	protein_coding
ENSG00000253669	GASAL1	-5.96e-01	 1.08e-01	lncRNA
ENSG00000234602	MCIDAS	 3.45e-02	 9.60e-01	protein_coding
ENSG00000160284	SPATC1L	 1.04e-01	 8.56e-01	protein_coding
ENSG00000261150	EPPK1	-1.78e-01	 6.18e-01	protein_coding
ENSG00000100299	ARSA	 1.35e-01	 6.78e-01	protein_coding
ENSG00000100298	APOBEC3H	 4.72e-01	 2.56e-01	protein_coding
ENSG00000164078	MST1R	-1.57e-01	 6.65e-01	protein_coding
ENSG00000182208	MOB2	 1.48e-01	 6.60e-01	protein_coding
ENSG00000103855	CD276	 3.65e-01	 2.67e-02	protein_coding
ENSG00000113761	ZNF346	-6.36e-02	 9.01e-01	protein_coding
ENSG00000100280	AP1B1	 4.34e-01	 2.71e-03	protein_coding
ENSG00000186106	ANKRD46	-5.49e-02	 9.34e-01	protein_coding
ENSG00000113407	TARS	-2.72e-01	 4.28e-01	protein_coding
ENSG00000164077	MON1A	 1.67e-01	 5.93e-01	protein_coding
ENSG00000172171	TEFM	-2.11e-01	 6.96e-01	protein_coding
ENSG00000152669	CCNO	 4.97e-02	 9.22e-01	protein_coding
ENSG00000160256	FAM207A	 7.10e-03	 9.83e-01	protein_coding
ENSG00000197417	SHPK	 2.90e-01	 2.10e-01	protein_coding
ENSG00000100307	CBX7	 5.19e-02	 8.90e-01	protein_coding
ENSG00000157500	APPL1	-3.19e-01	 4.57e-01	protein_coding
ENSG00000133027	PEMT	 2.02e-01	 4.15e-01	protein_coding
ENSG00000167202	TBC1D2B	 1.23e-01	 7.04e-01	protein_coding
ENSG00000179981	TSHZ1	 5.10e-01	 1.92e-01	protein_coding
ENSG00000031823	RANBP3	 4.08e-01	 1.26e-02	protein_coding
ENSG00000280798	LINC00294	 9.88e-02	 8.69e-01	lncRNA
ENSG00000176102	CSTF3	-2.48e-01	 5.60e-01	protein_coding
ENSG00000133706	LARS	-1.64e-01	 6.75e-01	protein_coding
ENSG00000073417	PDE8A	-4.12e-01	 1.38e-01	protein_coding
ENSG00000067248	DHX29	-8.32e-02	 8.96e-01	protein_coding
ENSG00000198258	UBL5	-6.85e-01	 1.16e-08	protein_coding
ENSG00000176148	TCP11L1	-4.17e-01	 2.67e-01	protein_coding
ENSG00000105650	PDE4C	-7.47e-01	 3.97e-02	protein_coding
ENSG00000156273	BACH1	-7.81e-01	 8.56e-03	protein_coding
ENSG00000133816	MICAL2	-4.31e-01	 2.40e-01	protein_coding
ENSG00000114854	TNNC1	-1.48e-01	 7.11e-01	protein_coding
ENSG00000150510	FAM124A	 2.59e-01	 5.71e-01	protein_coding
ENSG00000114270	COL7A1	-4.82e-02	 9.01e-01	protein_coding
ENSG00000244754	N4BP2L2	-7.69e-01	 1.95e-02	protein_coding
ENSG00000204564	C6orf136	 4.55e-01	 7.12e-02	protein_coding
ENSG00000154767	XPC	 3.12e-01	 1.78e-01	protein_coding
ENSG00000172936	MYD88	 6.12e-02	 8.92e-01	protein_coding
ENSG00000104231	ZFAND1	-2.29e-01	 6.42e-01	protein_coding
ENSG00000270141	TERC	-2.15e+00	 1.65e-61	lncRNA
ENSG00000187650	VMAC	 2.30e-02	 9.72e-01	protein_coding
ENSG00000166387	PPFIBP2	 1.46e-01	 7.78e-01	protein_coding
ENSG00000198792	TMEM184B	 3.77e-01	 3.29e-02	protein_coding
ENSG00000184378	ACTRT3	 1.92e-01	 7.30e-01	protein_coding
ENSG00000014138	POLA2	 2.40e-01	 1.40e-01	protein_coding
ENSG00000167113	COQ4	-2.01e-02	 9.50e-01	protein_coding
ENSG00000105519	CAPS	-4.65e-01	 2.70e-01	protein_coding
ENSG00000173960	UBXN2A	-2.99e-01	 5.13e-01	protein_coding
ENSG00000170860	LSM3	-2.79e-01	 4.97e-01	protein_coding
ENSG00000168303	MPLKIP	-1.41e-01	 7.48e-01	protein_coding
ENSG00000149798	CDC42EP2	 2.27e-01	 3.19e-01	protein_coding
ENSG00000146085	MMUT	 1.69e-02	 9.77e-01	protein_coding
ENSG00000184908	CLCNKB	 3.04e-01	 4.22e-01	protein_coding
ENSG00000167711	SERPINF2	 9.83e-02	 8.74e-01	protein_coding
ENSG00000196689	TRPV1	 4.42e-02	 9.43e-01	protein_coding
ENSG00000138613	APH1B	 2.28e-01	 5.71e-01	protein_coding
ENSG00000137274	BPHL	 7.96e-02	 8.38e-01	protein_coding
ENSG00000170876	TMEM43	 1.95e-01	 4.39e-01	protein_coding
ENSG00000131473	ACLY	 3.65e-01	 1.03e-02	protein_coding
ENSG00000141959	PFKL	 4.13e-01	 3.69e-02	protein_coding
ENSG00000101017	CD40	 2.56e-01	 5.91e-01	protein_coding
ENSG00000275198	AL512791.2	-2.22e-01	 6.75e-01	lncRNA
ENSG00000204560	DHX16	 4.62e-01	 6.04e-03	protein_coding
ENSG00000126778	SIX1	 3.46e-01	 4.46e-01	protein_coding
ENSG00000101444	AHCY	 1.91e-01	 3.05e-01	protein_coding
ENSG00000104442	ARMC1	-1.67e-01	 7.60e-01	protein_coding
ENSG00000204316	MRPL38	 2.16e-01	 2.51e-01	protein_coding
ENSG00000157510	AFAP1L1	 2.38e-01	 5.80e-01	protein_coding
ENSG00000160285	LSS	 5.32e-01	 2.77e-05	protein_coding
ENSG00000102606	ARHGEF7	-2.70e-01	 3.62e-01	protein_coding
ENSG00000140983	RHOT2	 2.75e-01	 2.11e-01	protein_coding
ENSG00000169609	C15orf40	-2.93e-01	 2.67e-01	protein_coding
ENSG00000184545	DUSP8	-1.45e-01	 7.58e-01	protein_coding
ENSG00000134490	TMEM241	 1.47e-01	 7.55e-01	protein_coding
ENSG00000112576	CCND3	 2.39e-01	 2.41e-01	protein_coding
ENSG00000169750	RAC3	-1.47e-01	 7.41e-01	protein_coding
ENSG00000104998	IL27RA	 3.26e-01	 1.88e-01	protein_coding
ENSG00000079785	DDX1	-2.08e-01	 6.29e-01	protein_coding
ENSG00000112902	SEMA5A	-1.66e-01	 7.70e-01	protein_coding
ENSG00000279602	AC109326.1	-9.51e-01	 6.69e-06	TEC
ENSG00000119684	MLH3	-1.02e+00	 1.90e-03	protein_coding
ENSG00000123545	NDUFAF4	 1.34e-01	 8.22e-01	protein_coding
ENSG00000109861	CTSC	 2.18e-01	 2.56e-01	protein_coding
ENSG00000125898	FAM110A	 5.61e-02	 9.19e-01	protein_coding
ENSG00000035928	RFC1	-5.03e-01	 1.95e-01	protein_coding
ENSG00000279851	CR382287.2	-6.54e-01	 6.59e-02	lncRNA
ENSG00000011275	RNF216	-3.30e-01	 1.43e-01	protein_coding
ENSG00000100625	SIX4	-1.27e-01	 7.85e-01	protein_coding
ENSG00000103942	HOMER2	-2.57e-01	 5.61e-01	protein_coding
ENSG00000188825	LINC00910	-2.28e-01	 4.09e-01	lncRNA
ENSG00000077458	FAM76B	-5.51e-01	 1.07e-01	protein_coding
ENSG00000232022	FAAHP1	-9.49e-04	 9.99e-01	transcribed_unprocessed_pseudogene
ENSG00000130312	MRPL34	 9.60e-02	 7.06e-01	protein_coding
ENSG00000068028	RASSF1	 9.91e-02	 7.29e-01	protein_coding
ENSG00000158122	PRXL2C	-2.02e-01	 6.36e-01	protein_coding
ENSG00000180628	PCGF5	 2.21e-01	 5.97e-01	protein_coding
ENSG00000088854	C20orf194	-9.60e-02	 8.61e-01	protein_coding
ENSG00000153879	CEBPG	 1.12e-01	 8.21e-01	protein_coding
ENSG00000102786	INTS6	-3.62e-01	 3.30e-01	protein_coding
ENSG00000141854	MISP3	 2.53e-01	 6.03e-01	protein_coding
ENSG00000034693	PEX3	-2.60e-01	 6.10e-01	protein_coding
ENSG00000127220	ABHD8	 3.24e-01	 1.71e-01	protein_coding
ENSG00000198668	CALM1	-4.77e-02	 9.02e-01	protein_coding
ENSG00000138801	PAPSS1	 1.25e-01	 6.60e-01	protein_coding
ENSG00000145982	FARS2	-1.71e-02	 9.62e-01	protein_coding
ENSG00000112276	BVES	-3.71e-02	 9.56e-01	protein_coding
ENSG00000130311	DDA1	 2.97e-01	 2.95e-01	protein_coding
ENSG00000001036	FUCA2	 1.33e-01	 5.81e-01	protein_coding
ENSG00000188002	AC026412.1	 3.90e-01	 2.38e-01	transcribed_unprocessed_pseudogene
ENSG00000188878	FBF1	 7.69e-02	 8.41e-01	protein_coding
ENSG00000107890	ANKRD26	-2.03e-01	 7.08e-01	protein_coding
ENSG00000184009	ACTG1	 4.33e-01	 4.66e-04	protein_coding
ENSG00000164048	ZNF589	 2.67e-01	 4.56e-01	protein_coding
ENSG00000074855	ANO8	-2.11e-01	 6.36e-01	protein_coding
ENSG00000145016	RUBCN	 2.35e-02	 9.66e-01	protein_coding
ENSG00000120533	ENY2	-4.66e-01	 1.77e-01	protein_coding
ENSG00000085274	MYNN	-5.01e-01	 2.26e-01	protein_coding
ENSG00000278053	DDX52	-4.95e-02	 9.33e-01	protein_coding
ENSG00000184060	ADAP2	-2.51e-01	 5.91e-01	protein_coding
ENSG00000168291	PDHB	-1.31e-01	 7.22e-01	protein_coding
ENSG00000064726	BTBD1	-2.27e-01	 5.43e-01	protein_coding
ENSG00000166037	CEP57	-7.55e-01	 1.30e-02	protein_coding
ENSG00000158985	CDC42SE2	 6.83e-03	 9.90e-01	protein_coding
ENSG00000283050	GTF2IP12	-8.05e-01	 1.96e-02	transcribed_unprocessed_pseudogene
ENSG00000229848	AC139149.1	-7.45e-01	 4.09e-02	lncRNA
ENSG00000136813	ECPAS	-5.83e-02	 8.60e-01	protein_coding
ENSG00000165338	HECTD2	-1.90e-01	 7.32e-01	protein_coding
ENSG00000141934	PLPP2	 4.88e-03	 9.86e-01	protein_coding
ENSG00000169612	RAMAC	 5.57e-02	 9.10e-01	protein_coding
ENSG00000185722	ANKFY1	-1.96e-01	 4.27e-01	protein_coding
ENSG00000164695	CHMP4C	-1.45e-01	 7.96e-01	protein_coding
ENSG00000181856	SLC2A4	 1.59e-01	 6.71e-01	protein_coding
ENSG00000213889	PPM1N	-4.07e-01	 3.21e-01	protein_coding
ENSG00000138688	KIAA1109	-1.59e-01	 7.82e-01	protein_coding
ENSG00000171451	DSEL	-1.30e-01	 8.29e-01	protein_coding
ENSG00000122068	FYTTD1	-1.78e-01	 7.18e-01	protein_coding
ENSG00000172113	NME6	 2.02e-01	 5.35e-01	protein_coding
ENSG00000065268	WDR18	 1.31e-01	 6.27e-01	protein_coding
ENSG00000121775	TMEM39B	 1.84e-01	 5.21e-01	protein_coding
ENSG00000205746	AC126755.1	-2.20e-01	 6.29e-01	transcribed_unprocessed_pseudogene
ENSG00000006047	YBX2	-9.65e-02	 8.76e-01	protein_coding
ENSG00000130772	MED18	-4.88e-02	 9.01e-01	protein_coding
ENSG00000167740	CYB5D2	 6.32e-02	 8.45e-01	protein_coding
ENSG00000272872	AP000525.1	 6.97e-02	 9.14e-01	lncRNA
ENSG00000159079	CFAP298	 7.48e-02	 8.74e-01	protein_coding
ENSG00000206195	DUXAP8	-2.15e-01	 4.89e-01	lncRNA
ENSG00000188293	IGFL1	-2.47e-01	 3.52e-01	protein_coding
ENSG00000138621	PPCDC	 7.89e-02	 8.58e-01	protein_coding
ENSG00000078674	PCM1	-5.97e-02	 9.22e-01	protein_coding
ENSG00000087995	METTL2A	 3.70e-02	 9.31e-01	protein_coding
ENSG00000258644	SYNJ2BP-COX16	-3.02e-01	 5.33e-01	protein_coding
ENSG00000126777	KTN1	-7.81e-02	 8.88e-01	protein_coding
ENSG00000214595	EML6	 3.09e-02	 9.61e-01	protein_coding
ENSG00000167130	DOLPP1	 3.06e-01	 1.49e-01	protein_coding
ENSG00000142949	PTPRF	 2.66e-01	 1.55e-01	protein_coding
ENSG00000134508	CABLES1	 9.24e-02	 8.33e-01	protein_coding
ENSG00000020426	MNAT1	-6.92e-01	 5.60e-02	protein_coding
ENSG00000005007	UPF1	 3.91e-01	 4.25e-02	protein_coding
ENSG00000213463	SYNJ2BP	 2.48e-01	 5.81e-01	protein_coding
ENSG00000121774	KHDRBS1	 1.90e-01	 3.56e-01	protein_coding
ENSG00000185519	FAM131C	 3.62e-01	 4.27e-01	protein_coding
ENSG00000133983	COX16	-1.40e-01	 8.00e-01	protein_coding
ENSG00000253352	TUG1	-4.37e-01	 1.51e-01	protein_coding
ENSG00000140545	MFGE8	 1.65e-01	 5.17e-01	protein_coding
ENSG00000166483	WEE1	-4.03e-01	 6.91e-02	protein_coding
ENSG00000124523	SIRT5	-3.81e-01	 1.93e-01	protein_coding
ENSG00000125744	RTN2	 2.75e-01	 1.49e-01	protein_coding
ENSG00000266962	AC067852.2	 1.02e-02	 9.77e-01	lncRNA
ENSG00000197724	PHF2	 1.66e-01	 5.99e-01	protein_coding
ENSG00000159216	RUNX1	-8.00e-02	 8.60e-01	protein_coding
ENSG00000137077	CCL21	 3.83e-01	 3.92e-01	protein_coding
ENSG00000090097	PCBP4	 8.83e-02	 8.88e-01	protein_coding
ENSG00000006327	TNFRSF12A	-3.78e-01	 2.70e-02	protein_coding
ENSG00000126814	TRMT5	 8.09e-02	 9.00e-01	protein_coding
ENSG00000206262	FOXL2NB	 2.42e-01	 6.21e-01	protein_coding
ENSG00000108786	HSD17B1	 4.47e-01	 2.62e-01	protein_coding
ENSG00000261071	AL441883.1	 2.79e-01	 5.69e-01	lncRNA
ENSG00000277496	AL357033.4	-1.93e-01	 6.64e-01	lncRNA
ENSG00000276317	AL357033.3	-2.34e-01	 6.33e-01	lncRNA
ENSG00000101361	NOP56	 2.46e-02	 9.34e-01	protein_coding
ENSG00000163602	RYBP	 2.70e-02	 9.69e-01	protein_coding
ENSG00000068120	COASY	 3.77e-01	 4.04e-03	protein_coding
ENSG00000152520	PAN3	-4.35e-01	 2.12e-01	protein_coding
ENSG00000136213	CHST12	-5.46e-02	 8.75e-01	protein_coding
ENSG00000111845	PAK1IP1	-9.87e-02	 8.73e-01	protein_coding
ENSG00000265681	RPL17	-2.96e-01	 3.00e-01	protein_coding
ENSG00000112146	FBXO9	-8.81e-03	 9.79e-01	protein_coding
ENSG00000164074	ABHD18	 2.26e-01	 6.66e-01	protein_coding
ENSG00000101187	SLCO4A1	 1.05e-01	 6.88e-01	protein_coding
ENSG00000072954	TMEM38A	 5.92e-02	 8.90e-01	protein_coding
ENSG00000120708	TGFBI	 2.28e-01	 3.75e-01	protein_coding
ENSG00000163026	WDCP	-6.58e-02	 9.14e-01	protein_coding
ENSG00000111802	TDP2	 2.45e-01	 5.94e-01	protein_coding
ENSG00000166734	CASC4	-2.04e-01	 6.47e-01	protein_coding
ENSG00000112851	ERBIN	-4.56e-01	 2.08e-01	protein_coding
ENSG00000242612	DECR2	-4.25e-02	 9.07e-01	protein_coding
ENSG00000169668	BCRP2	 9.96e-02	 8.74e-01	transcribed_unprocessed_pseudogene
ENSG00000177576	C18orf32	-2.62e-01	 5.91e-01	protein_coding
ENSG00000108784	NAGLU	-3.84e-02	 9.13e-01	protein_coding
ENSG00000105556	MIER2	 2.50e-01	 3.02e-01	protein_coding
ENSG00000166938	DIS3L	-2.39e-01	 4.74e-01	protein_coding
ENSG00000128881	TTBK2	-2.26e-01	 5.84e-01	protein_coding
ENSG00000068971	PPP2R5B	 3.90e-01	 2.36e-01	protein_coding
ENSG00000104388	RAB2A	 3.99e-02	 9.32e-01	protein_coding
ENSG00000108443	RPS6KB1	-5.44e-01	 1.52e-01	protein_coding
ENSG00000135334	AKIRIN2	-1.89e-01	 5.92e-01	protein_coding
ENSG00000174353	STAG3L3	-5.89e-01	 1.14e-03	transcribed_unprocessed_pseudogene
ENSG00000139496	NUP58	-4.46e-01	 2.21e-01	protein_coding
ENSG00000156482	RPL30	-8.66e-01	 1.74e-11	protein_coding
ENSG00000136826	KLF4	-2.70e-01	 3.30e-01	protein_coding
ENSG00000147459	DOCK5	-3.47e-01	 8.63e-02	protein_coding
ENSG00000229018	PMS2P7	-1.69e-01	 7.68e-01	unprocessed_pseudogene
ENSG00000099991	CABIN1	 2.73e-01	 2.24e-01	protein_coding
ENSG00000254996	ANKHD1-EIF4EBP3	 3.72e-01	 3.11e-01	protein_coding
ENSG00000114786	ABHD14A-ACY1	-7.99e-01	 1.85e-02	protein_coding
ENSG00000163513	TGFBR2	 1.19e-01	 8.04e-01	protein_coding
ENSG00000107882	SUFU	 3.85e-01	 2.06e-01	protein_coding
ENSG00000112144	ICK	 6.51e-02	 9.22e-01	protein_coding
ENSG00000142619	PADI3	 2.38e-01	 6.32e-01	protein_coding
ENSG00000183963	SMTN	 1.69e-01	 4.34e-01	protein_coding
ENSG00000181404	WASHC1	 2.02e-01	 6.71e-01	protein_coding
ENSG00000112679	DUSP22	 3.28e-02	 9.39e-01	protein_coding
ENSG00000189050	RNFT1	 5.40e-02	 9.36e-01	protein_coding
ENSG00000137267	TUBB2A	 4.55e-02	 9.36e-01	protein_coding
ENSG00000275874	PICSAR	-4.78e-02	 9.40e-01	lncRNA
ENSG00000133302	SLF1	-8.48e-01	 7.21e-03	protein_coding
ENSG00000103202	NME4	-2.54e-02	 9.40e-01	protein_coding
ENSG00000214944	ARHGEF28	-2.61e-01	 4.63e-01	protein_coding
ENSG00000111843	TMEM14C	-2.32e-01	 2.76e-01	protein_coding
ENSG00000248487	ABHD14A	 8.64e-02	 7.81e-01	protein_coding
ENSG00000235944	ZNF815P	-5.00e-02	 9.39e-01	transcribed_unprocessed_pseudogene
ENSG00000175471	MCTP1	 6.93e-02	 9.17e-01	protein_coding
ENSG00000013306	SLC25A39	 1.49e-01	 4.39e-01	protein_coding
ENSG00000235374	SSR4P1	-1.78e-01	 7.40e-01	transcribed_processed_pseudogene
ENSG00000106003	LFNG	 4.19e-02	 9.49e-01	protein_coding
ENSG00000124177	CHD6	-9.82e-02	 8.38e-01	protein_coding
ENSG00000114779	ABHD14B	 1.93e-01	 3.59e-01	protein_coding
ENSG00000197381	ADARB1	-6.07e-02	 9.07e-01	protein_coding
ENSG00000100311	PDGFB	 2.76e-01	 5.43e-01	protein_coding
ENSG00000101367	MAPRE1	 2.34e-01	 4.16e-01	protein_coding
ENSG00000225465	RFPL1S	 5.12e-02	 9.37e-01	lncRNA
ENSG00000010322	NISCH	 6.52e-02	 8.45e-01	protein_coding
ENSG00000127445	PIN1	 5.46e-02	 8.47e-01	protein_coding
ENSG00000198718	TOGARAM1	-4.10e-01	 3.21e-01	protein_coding
ENSG00000265933	LINC00668	 2.63e-01	 5.75e-01	lncRNA
ENSG00000100285	NEFH	 3.63e-01	 1.24e-01	protein_coding
ENSG00000171421	MRPL36	-2.44e-01	 2.65e-01	protein_coding
ENSG00000253616	AC107959.3	 1.25e-01	 8.38e-01	lncRNA
ENSG00000179454	KLHL28	-4.49e-02	 9.45e-01	protein_coding
ENSG00000182534	MXRA7	 1.23e-01	 6.26e-01	protein_coding
ENSG00000142627	EPHA2	 2.26e-01	 3.10e-01	protein_coding
ENSG00000149743	TRPT1	 2.58e-01	 2.53e-01	protein_coding
ENSG00000156011	PSD3	-7.78e-01	 1.21e-03	protein_coding
ENSG00000168062	BATF2	 9.77e-02	 8.76e-01	protein_coding
ENSG00000227959	AL451042.2	-2.33e-01	 6.57e-01	lncRNA
ENSG00000099917	MED15	 1.88e-02	 9.61e-01	protein_coding
ENSG00000047056	WDR37	-2.89e-01	 4.07e-01	protein_coding
ENSG00000008853	RHOBTB2	 1.78e-02	 9.62e-01	protein_coding
ENSG00000178031	ADAMTSL1	 1.20e-01	 7.90e-01	protein_coding
ENSG00000179388	EGR3	-4.23e-01	 3.28e-01	protein_coding
ENSG00000186073	C15orf41	-3.91e-01	 3.34e-01	protein_coding
ENSG00000179051	RCC2	 3.28e-01	 3.67e-02	protein_coding
ENSG00000205268	PDE7A	-4.78e-01	 1.62e-01	protein_coding
ENSG00000120889	TNFRSF10B	-7.01e-02	 8.14e-01	protein_coding
ENSG00000155229	MMS19	 2.58e-01	 2.61e-01	protein_coding
ENSG00000106689	LHX2	-1.23e-01	 8.37e-01	protein_coding
ENSG00000142961	MOB3C	 3.48e-01	 1.14e-01	protein_coding
ENSG00000043514	TRIT1	-1.84e-01	 7.15e-01	protein_coding
ENSG00000160867	FGFR4	-1.21e-01	 7.43e-01	protein_coding
ENSG00000180229	HERC2P3	-1.73e-01	 6.30e-01	transcribed_unprocessed_pseudogene
ENSG00000273387	AC005005.3	-3.80e-01	 2.78e-01	lncRNA
ENSG00000278920	AC005005.4	-4.37e-01	 2.37e-01	lncRNA
ENSG00000131899	LLGL1	 5.19e-01	 4.05e-03	protein_coding
ENSG00000103145	HCFC1R1	 1.06e-01	 7.05e-01	protein_coding
ENSG00000131503	ANKHD1	 7.95e-02	 8.36e-01	protein_coding
ENSG00000066855	MTFR1	-3.77e-03	 9.94e-01	protein_coding
ENSG00000177731	FLII	 5.74e-01	 3.71e-05	protein_coding
ENSG00000185049	NELFA	 2.06e-01	 4.27e-01	protein_coding
ENSG00000256116	AP001453.1	 1.59e-01	 7.74e-01	lncRNA
ENSG00000149761	NUDT22	 1.27e-01	 6.40e-01	protein_coding
ENSG00000112304	ACOT13	-1.91e-01	 6.05e-01	protein_coding
ENSG00000141858	SAMD1	 2.12e-01	 2.59e-01	protein_coding
ENSG00000104833	TUBB4A	-2.93e-02	 9.66e-01	protein_coding
ENSG00000111181	SLC6A12	-2.69e-01	 5.88e-01	protein_coding
ENSG00000180822	PSMG4	-4.45e-01	 7.04e-02	protein_coding
ENSG00000196597	ZNF782	 3.24e-01	 4.92e-01	protein_coding
ENSG00000079277	MKNK1	 1.44e-01	 6.84e-01	protein_coding
ENSG00000213523	SRA1	-4.85e-02	 8.70e-01	protein_coding
ENSG00000144736	SHQ1	-2.64e-01	 5.33e-01	protein_coding
ENSG00000112308	C6orf62	-7.07e-02	 8.24e-01	protein_coding
ENSG00000110025	SNX15	 2.84e-01	 1.50e-01	protein_coding
ENSG00000261971	MMP25-AS1	 1.46e-01	 7.83e-01	lncRNA
ENSG00000110011	DNAJC4	 2.55e-01	 2.02e-01	protein_coding
ENSG00000221869	CEBPD	-7.82e-02	 7.93e-01	protein_coding
ENSG00000132109	TRIM21	 4.92e-01	 2.30e-03	protein_coding
ENSG00000213465	ARL2	 1.19e-01	 6.23e-01	protein_coding
ENSG00000173402	DAG1	 2.63e-01	 1.50e-01	protein_coding
ENSG00000167173	C15orf39	 2.61e-01	 2.34e-01	protein_coding
ENSG00000131652	THOC6	 6.86e-02	 8.31e-01	protein_coding
ENSG00000141524	TMC6	 3.11e-01	 3.12e-01	protein_coding
ENSG00000180884	ZNF792	 5.24e-02	 9.36e-01	protein_coding
ENSG00000166411	IDH3A	-1.76e-01	 6.84e-01	protein_coding
ENSG00000175906	ARL4D	-1.00e-02	 9.79e-01	protein_coding
ENSG00000168301	KCTD6	-1.71e-01	 7.63e-01	protein_coding
ENSG00000115257	PCSK4	 8.70e-02	 8.76e-01	protein_coding
ENSG00000007237	GAS7	-1.45e-01	 8.02e-01	protein_coding
ENSG00000164506	STXBP5	-6.99e-01	 3.15e-02	protein_coding
ENSG00000198853	RUSC2	 3.48e-01	 9.88e-02	protein_coding
ENSG00000042753	AP2S1	-4.05e-03	 9.89e-01	protein_coding
ENSG00000105677	TMEM147	 1.53e-01	 4.37e-01	protein_coding
ENSG00000186615	KTN1-AS1	-2.45e-01	 6.23e-01	lncRNA
ENSG00000167114	SLC27A4	 2.65e-01	 2.72e-01	protein_coding
