Ensembl_Gene	Common_Gene	Source	Nucleus_log2FC	Nucleolus_log2FC	Lamina_log2FC	Nuclear_Pore_log2FC	Cytosol_log2FC	ERM_log2FC	OMM_log2FC	ER_Lumen_log2FC	Nucleus_Orphan	Nucleolus_Orphan	Lamina_Orphan	Nuclear_pore_Orphan	Cytosol_Orphan	ERM_Orphan	OMM_Orphan	Nucleus_Deorphaned	Cytosol_Deorphaned
ENSG00000005339	CREBBP	Atlas_Analysis	0.351721442	0.695239107	0.041826575	0.199014935	0.447492716	0.999671573	0.182775624	0.243588937	0	0	0	0	0	0	0	0	0
ENSG00000005436	GCFC2	Atlas_Analysis	0.022367422	1.417824604	-0.098888156	-0.100251456	-0.404505369	0.562982499	-0.242279797	-0.208504767	0	1	0	0	0	0	0	0	0
ENSG00000005486	RHBDD2	Atlas_Analysis	-0.866408118	-0.811651871	-0.947563948	0.459995936	-0.557634134	-0.009818639	0.767375516	0.299391497	0	0	0	0	0	0	0	0	0
ENSG00000005700	IBTK	Atlas_Analysis	0.049407747	0.670927938	0.485198168	0.533140218	0.350302754	0.829199067	0.499405823	-0.122698835	0	0	0	0	0	0	0	0	0
ENSG00000005801	ZNF195	Atlas_Analysis	1.452772311	0.968341722	0.734671041	0.059979761	-0.591389069	0.301899746	-0.804273852	-0.195706484	0	0	0	0	0	0	0	0	0
ENSG00000005810	MYCBP2	Atlas_Analysis	0.317310398	0.887339421	0.584352314	-0.12594951	0.275336515	0.01743362	0.260200054	-0.301570773	0	0	0	0	0	0	0	0	0
ENSG00000005889	ZFX	Atlas_Analysis	0.472161452	0.837205981	0.438515298	0.097931683	0.02432748	0.795950858	-0.067521723	-0.152901878	0	0	0	0	0	0	0	0	0
ENSG00000005893	LAMP2	Atlas_Analysis	-0.534182572	-0.262306208	-0.510394638	-0.407188704	-0.514378505	1.717824657	1.404689926	0.028174007	0	0	0	0	0	0	0	0	0
ENSG00000006007	GDE1	Atlas_Analysis	-0.719682523	-0.707873963	-0.784567069	0.075715082	-0.192398086	1.250941994	0.896681887	-0.082582261	0	0	0	0	0	0	0	0	0
ENSG00000006042	TMEM98	Atlas_Analysis	-0.926017158	-0.687288246	-0.485754175	0.498032562	-0.286951761	0.833985021	0.937653508	-0.031899189	0	0	0	0	0	0	0	0	0
ENSG00000006118	TMEM132A	Atlas_Analysis	0.943999541	0.537683652	0.361301319	1.03605955	-0.337702368	0.275314164	1.440058402	0.590603811	1	0	0	0	0	0	0	1	0
ENSG00000006194	ZNF263	Atlas_Analysis	0.67216026	0.286304761	0.426693049	0.81731504	0.510820786	1.017262229	0.187536917	0.087000101	0	0	0	0	0	0	0	0	0
ENSG00000006432	MAP3K9	Atlas_Analysis	0.857719835	0.409668503	1.550475164	0.076057946	0.477431351	0.094892298	0.396395313	-0.054645225	0	0	0	0	0	0	0	0	0
ENSG00000006459	JHDM1D	Atlas_Analysis	1.106052437	0.751531965	1.268163449	-0.210773832	0.434655945	0.352319984	0.371242754	-0.368133907	0	0	0	0	0	0	0	0	0
ENSG00000006576	PHTF2	Atlas_Analysis	0.250274449	1.173522011	0.871460726	-0.116088592	-0.270217045	2.001794466	1.18378218	-0.292447146	0	1	0	0	0	0	0	0	0
ENSG00000006607	FARP2	Atlas_Analysis	0.782347494	-0.05243891	0.592383846	0.122797958	0.67918839	0.494309614	0.169105189	-0.065897243	1	0	0	0	0	0	0	0	0
ENSG00000006652	IFRD1	Atlas_Analysis	1.054913434	0.61817939	1.191606469	-0.223469331	-0.731476524	-0.507587008	-0.150884897	-0.002257873	0	0	0	0	0	0	0	0	0
ENSG00000006740	ARHGAP44	Atlas_Analysis	0.458779292	0.318449436	0.680512426	-0.156091841	0.755742128	-1.084392472	0.446870188	-0.257849544	0	0	0	0	1	0	0	0	0
ENSG00000006744	ELAC2	Atlas_Analysis	-0.376053312	-0.319612803	-0.754945994	0.182814287	-0.267293231	-0.199141971	2.094881318	-0.176383124	0	0	0	0	0	0	1	0	0
ENSG00000006831	ADIPOR2	Atlas_Analysis	-0.261249321	-0.190353054	-0.121163389	-0.438220138	0.447198948	1.959500448	1.353383258	-0.044882634	0	0	0	0	0	0	0	0	0
ENSG00000007168	PAFAH1B1	Atlas_Analysis	0.287627368	0.933075338	0.218974659	0.089640393	0.460586471	0.860207328	0.247026384	-0.227494374	0	0	0	0	0	0	0	0	0
ENSG00000007202	KIAA0100	Atlas_Analysis	-0.604437451	-0.226133102	-0.800208611	-0.068196145	0.187472738	1.345010961	0.968648391	-0.159933764	0	0	0	0	0	0	0	0	0
ENSG00000007372	PAX6	Atlas_Analysis	0.986641605	1.044655972	0.75474322	0.600414662	-0.195482298	0.060551136	-0.666806441	-0.050967554	0	0	0	0	0	0	0	0	0
ENSG00000007392	LUC7L	Atlas_Analysis	1.136883994	0.418785356	0.806396546	0.388215977	-0.578038055	-1.530791146	-1.235788253	0.102552267	0	0	0	0	0	0	0	0	0
ENSG00000007402	CACNA2D2	Atlas_Analysis	-0.107551161	-0.229310149	0.052337623	-1.409412321	-0.446894241	0.602253549	0.808129621	0.233302594	0	0	0	0	0	0	0	0	0
ENSG00000007541	PIGQ	Atlas_Analysis	1.14700461	0.583129929	0.471399025	-0.319302425	-0.280373522	0.714182443	0.547934486	0.59549043	0	0	0	0	0	0	0	0	0
ENSG00000007545	CRAMP1L	Atlas_Analysis	1.064421787	0.679230594	0.869869349	0.324379385	0.141985781	-0.387778816	-0.081601875	0.035816608	0	0	0	0	0	0	0	0	0
ENSG00000008083	JARID2	Atlas_Analysis	0.68585775	-0.340625827	0.537274543	0.469567213	0.771816041	1.029906228	0.808508786	0.209793169	0	0	0	0	1	0	0	0	0
ENSG00000008277	ADAM22	Atlas_Analysis	0.971205462	0.32424183	1.475647778	-0.566292029	-0.171628247	0.703305278	1.251717359	-0.279072841	0	0	0	0	0	0	0	0	0
ENSG00000008283	CYB561	Atlas_Analysis	-0.502831213	0.205489859	-0.112999147	0.163413871	0.044820207	1.011646246	1.211234357	-0.00657844	0	0	0	0	0	0	0	0	0
ENSG00000008294	SPAG9	Atlas_Analysis	0.001792004	0.512924651	0.175343206	-0.152140675	0.020656106	1.277527733	0.666256747	-0.172580953	0	0	0	0	0	0	0	0	0
ENSG00000008300	CELSR3	Atlas_Analysis	0.989502677	1.051344229	1.017064532	1.288260246	0.019128591	0.821784173	1.104317315	0.269999077	0	0	0	0	0	0	0	0	0
ENSG00000008311	AASS	Atlas_Analysis	0.30224851	0.86456917	0.44397838	0.529793138	0.016639157	1.740125786	4.236737036	-0.131916651	0	0	0	0	0	1	1	0	0
ENSG00000008710	PKD1	Atlas_Analysis	1.479786424	0.750518939	1.161378944	1.416566976	-0.28652617	0.224709214	0.461017563	1.060941159	0	0	0	0	0	0	0	0	0
ENSG00000008952	SEC62	Atlas_Analysis	-0.353635532	-0.02973419	-0.355833221	-0.440091799	-0.331533987	1.611019147	0.778030855	-0.252045727	0	0	0	0	0	0	0	0	0
ENSG00000009413	REV3L	Atlas_Analysis	0.368421291	-0.262451876	0.796332938	-0.194440232	0.377191991	1.038373766	0.678309964	0.07836715	0	0	0	0	0	0	0	0	0
ENSG00000009830	POMT2	Atlas_Analysis	0.459642969	-0.419403627	0.199979936	-0.077829395	-0.07939883	1.250207452	1.28701387	0.077527877	0	0	0	0	0	0	0	0	0
ENSG00000009954	BAZ1B	Atlas_Analysis	0.200535268	0.246180457	0.054423005	-0.04876328	0.894280837	0.925251645	0.179555469	-0.063603912	0	0	0	0	0	0	0	0	0
ENSG00000010244	ZNF207	Atlas_Analysis	0.644596817	0.849587067	0.503307379	0.261237297	-0.471188682	-0.747479276	-0.894423182	-0.169473605	0	0	0	0	0	0	0	0	0
ENSG00000010295	IFFO1	Atlas_Analysis	0.88888164	0.124078782	0.809307297	0.612101074	-0.20044896	-1.295366532	-0.511347896	0.585069245	0	0	0	0	0	0	0	0	0
ENSG00000010322	NISCH	Atlas_Analysis	1.83390133	0.54799335	1.466353634	1.009211248	0.038181916	0.099941348	-0.025313548	0.582346209	0	0	0	0	0	0	0	0	0
ENSG00000010404	IDS	Atlas_Analysis	0.146370883	0.510765265	0.155178254	-0.285200117	0.271949989	0.368508684	0.832484447	0.238743365	0	0	0	0	0	0	0	0	0
ENSG00000011021	CLCN6	Atlas_Analysis	1.703016742	1.468213061	1.403079064	0.23559914	-0.315033309	0.969761921	0.779344381	0.344317619	0	0	0	0	0	0	0	0	0
ENSG00000011028	MRC2	Atlas_Analysis	0.369987959	-0.415991286	0.397626976	1.065171998	0.047460318	1.005481631	2.330365143	0.170542652	0	0	0	0	0	0	0	0	0
ENSG00000011105	TSPAN9	Atlas_Analysis	0.234395256	0.678424933	0.157770857	0.443722478	0.602045896	2.131844951	1.810601228	0.072871491	0	0	0	0	0	0	0	0	0
ENSG00000011114	BTBD7	Atlas_Analysis	0.371760309	1.347994329	0.603871731	-0.352174024	0.492575015	1.345494863	0.275409835	-0.106803904	0	1	0	0	0	0	0	0	0
ENSG00000011258	MBTD1	Atlas_Analysis	0.600964378	0.103549141	0.831143513	0.390537354	0.095273751	0.605570549	0.232111283	-0.114208555	0	0	0	0	0	0	0	0	0
ENSG00000011376	LARS2	Atlas_Analysis	-0.388845628	0.036883782	-0.401830269	-0.057105165	0.186324159	1.014376012	3.095686614	-0.117742067	0	0	0	0	0	0	1	0	0
ENSG00000011405	PIK3C2A	Atlas_Analysis	0.384641212	0.868265025	0.402890289	-0.30030784	0.164583836	0.621292057	-0.187307788	-0.266407918	0	0	0	0	0	0	0	0	0
ENSG00000011426	ANLN	Atlas_Analysis	-0.18266804	0.343030056	-0.156346773	-0.191373957	0.527534166	1.111869353	0.06003242	-0.207565337	0	0	0	0	0	0	0	0	0
ENSG00000011478	QPCTL	Atlas_Analysis	0.885235811	0.975835654	0.658141624	0.68858355	-0.314748443	1.118480988	1.797224087	0.326865609	1	0	0	0	0	0	0	1	0
ENSG00000011566	MAP4K3	Atlas_Analysis	0.262865963	1.111013703	0.564568482	-0.121273705	-0.125668903	-0.419004437	-0.594812381	-0.035497289	0	1	0	0	0	0	0	0	0
ENSG00000012048	BRCA1	Atlas_Analysis	-0.161551976	0.954209027	0.205574753	-0.254607325	0.562991418	0.990500616	0.363608991	-0.440367404	0	1	0	0	0	0	0	0	0
ENSG00000012174	MBTPS2	Atlas_Analysis	-0.697781761	-0.026348571	-0.226971725	-0.508297784	-0.589184536	1.628918122	1.352790089	-0.082357548	0	0	0	0	0	0	0	0	0
ENSG00000012232	EXTL3	Atlas_Analysis	-0.478933496	-0.136027562	-0.315953824	0.049003092	0.331824897	1.465203185	1.122373784	-0.095528884	0	0	0	0	0	0	0	0	0
ENSG00000012660	ELOVL5	Atlas_Analysis	-0.438757844	-0.498307025	-0.286362637	-0.513836027	-0.725340186	1.342938564	1.169850994	-0.032778797	0	0	0	0	0	0	0	0	0
ENSG00000012983	MAP4K5	Atlas_Analysis	0.49732957	0.921313541	0.655051542	0.080563597	0.36524139	0.527991933	0.253389578	-0.110480256	0	0	0	0	0	0	0	0	0
ENSG00000013288	MAN2B2	Atlas_Analysis	0.184717637	1.175483139	0.140375252	0.666419085	-0.271921249	1.197140626	1.7781065	0.634151112	0	1	0	0	0	0	0	0	0
ENSG00000013441	CLK1	Atlas_Analysis	1.683731157	0.667858104	1.325973874	0.59569558	-1.413994799	-0.74278925	-0.748364133	-0.098736593	0	0	0	0	0	0	0	0	0
ENSG00000013523	ANGEL1	Atlas_Analysis	0.138726347	0.543677614	0.245478691	-0.340639728	-0.595763102	1.551593155	1.869428844	-0.106658838	0	0	0	0	0	0	0	0	0
ENSG00000013573	DDX11	Atlas_Analysis	1.400537661	0.845245802	0.777902992	1.080644753	0.071019629	-0.89864265	-0.254135942	0.440463006	0	0	0	0	0	0	0	0	0
ENSG00000014123	UFL1	Atlas_Analysis	0.263042822	0.321761089	0.332386201	-0.292320684	-0.64802489	2.425819348	0.63780798	-0.469926275	0	0	0	0	0	0	0	0	0
ENSG00000014824	SLC30A9	Atlas_Analysis	-0.327744598	0.05918813	-0.2866759	-0.609516916	0.035744105	0.769629494	0.478276399	-0.255180598	0	0	0	0	0	0	0	0	0
ENSG00000014919	COX15	Atlas_Analysis	-0.275994654	-0.240125351	-0.054444591	-0.188418951	0.460405072	0.848850596	0.060873968	-0.264357543	0	0	0	0	0	0	0	0	0
ENSG00000015171	ZMYND11	Atlas_Analysis	0.531140188	1.004978118	0.803305626	-0.278057212	0.426446042	1.146913426	0.397363163	0.008118971	0	0	0	0	0	0	0	0	0
ENSG00000015532	XYLT2	Atlas_Analysis	0.66174516	-0.337437722	0.719485233	0.131342598	-0.267869212	0.954279915	1.264167052	0.472060255	0	0	0	0	0	0	0	0	0
ENSG00000015676	NUDCD3	Atlas_Analysis	0.315238148	-0.405908414	0.422743188	0.177070171	0.967920708	0.697503037	0.601665028	0.182132205	0	0	0	0	1	0	0	0	0
ENSG00000016391	CHDH	Atlas_Analysis	0.492720118	0.147527559	0.771726024	0.182952486	0.631515815	0.005493655	0.529383091	0.000582802	0	0	0	0	0	0	0	0	0
ENSG00000016864	GLT8D1	Atlas_Analysis	0.019789263	0.363702894	0.034142933	0.481505018	-0.258295133	0.446200343	0.822866221	0.125269009	0	0	0	0	0	0	0	0	0
ENSG00000017260	ATP2C1	Atlas_Analysis	-0.689616721	-0.037954517	-0.523395521	-0.451495993	-0.597059646	1.071038389	0.992871967	-0.161090293	0	0	0	0	0	0	0	0	0
ENSG00000017797	RALBP1	Atlas_Analysis	-0.077679397	0.031584512	-0.314081803	-0.078403611	0.807253599	0.651497768	0.55691607	-0.280893722	0	0	0	0	0	0	0	0	0
ENSG00000018236	CNTN1	Atlas_Analysis	-1.190984278	0.276607003	-0.559150092	-0.213903214	-0.438790102	1.266096714	1.28408896	-0.795241625	0	0	0	0	0	0	0	0	0
ENSG00000019144	PHLDB1	Atlas_Analysis	0.188652401	-0.464454105	0.249048548	1.06947558	0.664803991	0.08897167	0.238659979	0.010433295	0	0	0	1	0	0	0	0	0
ENSG00000020922	MRE11A	Atlas_Analysis	0.90043898	0.955632495	0.754268383	0.159495982	0.452439292	0.548293025	0.268555489	-0.22619347	0	0	0	0	0	0	0	0	0
ENSG00000021574	SPAST	Atlas_Analysis	-0.706444426	1.136050019	-0.481915762	-0.479817774	-0.087906606	1.673922806	0.405938879	-0.382509889	0	1	0	0	0	0	0	0	0
ENSG00000021645	NRXN3	Atlas_Analysis	-0.103341715	0.948898629	0.277120766	-0.139923419	0.27709724	1.156910234	1.227609818	-0.075902571	0	1	0	0	0	0	0	0	0
ENSG00000021826	CPS1	Atlas_Analysis	-1.00069079	-0.365515115	-1.059692178	-0.473144192	0.224934093	1.500152926	3.715699881	-0.235235519	0	0	0	0	0	1	1	0	0
ENSG00000022567	SLC45A4	Atlas_Analysis	0.354369431	-1.464050539	-0.010985547	0.832327012	0.437567242	0.788645194	0.859318698	0.119094249	0	0	0	0	0	0	0	0	0
ENSG00000022976	ZNF839	Atlas_Analysis	1.574794251	0.68918034	1.708308121	0.50538884	0.247049638	0.300626252	-0.046578646	0.16237172	1	0	0	0	0	0	0	1	0
ENSG00000023041	ZDHHC6	Atlas_Analysis	0.52068845	0.713370668	0.57645863	-0.879565739	-0.12274632	1.277986939	0.393857953	-0.379386633	0	0	0	0	0	0	0	0	0
ENSG00000023191	RNH1	Atlas_Analysis	0.498081174	-0.947969482	-0.204982998	0.769916005	-0.258379499	-2.330754735	-0.887903867	0.504622183	0	0	0	0	0	0	0	0	0
ENSG00000023287	RB1CC1	Atlas_Analysis	-0.225759091	0.98553661	0.011338666	-0.356185359	0.26748416	0.792813613	-0.03033837	-0.303770207	0	1	0	0	0	0	0	0	0
ENSG00000023318	ERP44	Atlas_Analysis	-0.805539843	-0.228273723	-0.538296588	-0.509822388	-0.873905782	0.755101503	0.768999021	-0.261220381	0	0	0	0	0	0	0	0	0
ENSG00000023516	AKAP11	Atlas_Analysis	0.330707233	0.174195863	1.05738876	-0.839303893	0.460558485	0.814619109	0.258855423	-0.288750293	0	0	0	0	0	0	0	0	0
ENSG00000023909	GCLM	Atlas_Analysis	0.26782355	0.594378222	0.249391407	-1.338125686	0.057793839	1.061046328	-0.440909292	-0.096747334	0	0	0	0	0	1	0	0	0
ENSG00000024526	DEPDC1	Atlas_Analysis	0.038624272	0.298342724	0.347290608	-0.236647037	0.110045587	1.054897089	0.074874859	-0.113188971	0	0	0	0	0	1	0	0	0
ENSG00000025796	SEC63	Atlas_Analysis	-0.266881367	-0.037540549	-0.109750198	-0.516987366	-0.588715304	1.54287054	1.047062279	-0.115536406	0	0	0	0	0	0	0	0	0
ENSG00000026103	FAS	Atlas_Analysis	-1.430007996	-2.936326233	-1.082130209	-0.213817314	-0.306419459	1.612932194	0.751095952	-0.249497896	0	0	0	0	0	0	0	0	0
ENSG00000026297	RNASET2	Atlas_Analysis	0.98534833	-0.24371448	1.059450776	0.905133426	-0.644163634	-1.464076018	0.61051293	-0.018720103	1	0	0	0	0	0	0	0	0
ENSG00000026652	AGPAT4	Atlas_Analysis	1.204664416	0.963777932	2.008651407	0.038644371	-0.16339469	0.660807094	0.901147084	-0.0152397	0	0	1	0	0	0	0	0	0
ENSG00000027001	MIPEP	Atlas_Analysis	-0.561404105	-1.061630129	-0.29077926	-0.858386181	-0.156738236	-0.392485769	1.803489642	-0.441919158	0	0	0	0	0	0	1	0	0
ENSG00000028203	VEZT	Atlas_Analysis	-0.454297915	-0.561793828	-0.261209106	-0.40480587	-0.168573681	1.022933252	0.573830859	-0.2304095	0	0	0	0	0	0	0	0	0
ENSG00000028310	BRD9	Atlas_Analysis	1.543506759	0.656067962	1.052981301	0.503485486	0.429251241	0.092480813	-0.132295796	0.256458903	0	0	0	0	0	0	0	0	0
ENSG00000028528	SNX1	Atlas_Analysis	0.758458893	0.175344673	0.612924215	0.067931832	0.09751064	-0.86736273	0.021966744	-0.073229625	0	0	0	0	0	0	0	0	0
ENSG00000029363	BCLAF1	Atlas_Analysis	0.34467479	0.871712864	0.223011452	-0.256787816	0.106805512	0.437373436	-0.220751522	-0.448410083	0	0	0	0	0	0	0	0	0
ENSG00000029364	SLC39A9	Atlas_Analysis	-0.091666708	0.105702464	0.480038587	0.486279083	0.297524921	1.651783972	1.145206465	0.034152804	0	0	0	0	0	0	0	0	0
ENSG00000029725	RABEP1	Atlas_Analysis	-0.009572738	0.839048728	-0.073680271	-0.252489765	0.234732473	0.687480143	0.253018148	-0.469131826	0	1	0	0	0	0	0	0	0
ENSG00000031003	FAM13B	Atlas_Analysis	0.297245981	0.238775886	-0.004282208	-0.228632552	0.639865897	1.156782352	0.018711049	0.099745912	0	0	0	0	0	0	0	0	0
ENSG00000032444	PNPLA6	Atlas_Analysis	-0.795320642	-0.969890775	-0.647827528	0.767499642	-0.330566334	1.448676102	1.02410523	0.358672015	0	0	0	1	0	0	0	0	0
ENSG00000033030	ZCCHC8	Atlas_Analysis	1.079944769	1.085461532	0.913002622	0.65280195	0.002546493	0.125784343	-0.480906345	0.245400941	0	0	0	0	0	0	0	0	0
ENSG00000033100	CHPF2	Atlas_Analysis	0.764739411	-0.943602264	0.541318269	0.509000822	0.46523451	1.980288245	1.119020927	0.670201475	1	0	0	0	0	0	0	1	0
ENSG00000033170	FUT8	Atlas_Analysis	-0.801692745	-1.36515182	-0.662179159	-0.325180694	-0.21335441	1.041109524	0.886714245	-0.117162797	0	0	0	0	0	0	0	0	0
ENSG00000033178	UBA6	Atlas_Analysis	-0.123733973	0.855591798	0.07319229	-0.289703259	0.389903419	0.548233639	-0.188496004	-0.257141568	0	1	0	0	0	0	0	0	0
ENSG00000033627	ATP6V0A1	Atlas_Analysis	0.339817914	0.405161867	0.589593214	0.143326091	-0.289388716	1.200006827	0.953114192	-0.133818236	0	0	0	0	0	0	0	0	0
ENSG00000033867	SLC4A7	Atlas_Analysis	0.816873073	0.599716603	1.310447102	-0.157378151	-0.40311773	1.640194346	0.833268937	-0.129464008	0	0	0	0	0	0	0	0	0
ENSG00000035403	VCL	Atlas_Analysis	-0.385330971	0.071935314	-0.350463493	-0.202279137	0.155314612	1.823943822	1.534304275	-0.047416369	0	0	0	0	0	0	0	0	0
ENSG00000035687	ADSS	Atlas_Analysis	-0.18096599	0.765532234	0.089183224	-0.403228168	-0.28970413	-0.224666349	-0.505333893	-0.417271068	0	1	0	0	0	0	0	0	0
ENSG00000035862	TIMP2	Atlas_Analysis	-0.431841647	-0.998965041	-1.023117878	-0.155251986	0.298429624	1.894077645	2.023414446	-0.000246942	0	0	0	0	0	0	0	0	0
ENSG00000035928	RFC1	Atlas_Analysis	-0.051305764	0.109351544	-0.136099042	-0.174694795	0.299540546	0.826818473	0.166604929	-0.286548123	0	0	0	0	0	0	0	0	0
ENSG00000036549	ZZZ3	Atlas_Analysis	0.028363381	0.804789534	0.13609831	-0.404843666	0.252267586	1.128985306	0.089797438	-0.197745158	0	1	0	0	0	1	0	0	0
ENSG00000037749	MFAP3	Atlas_Analysis	-0.270903702	0.143624073	0.308263133	-0.445732285	-0.491829519	1.987940411	1.255665131	0.143403851	0	0	0	0	0	0	0	0	0
ENSG00000037757	MRI1	Atlas_Analysis	1.332033523	0.292698356	0.891757842	0.457108074	0.30202133	-0.216407078	-0.160416267	0.344350458	1	0	0	0	0	0	0	0	0
ENSG00000038002	AGA	Atlas_Analysis	-0.567250595	0.814859068	-0.583263349	-0.792002029	-1.1996691	-0.230482761	0.285769703	-0.590528805	0	1	0	0	0	0	0	0	0
ENSG00000038219	BOD1L1	Atlas_Analysis	0.637930208	1.222935753	0.925651606	0.240443071	0.495450052	0.718431898	0.082410627	-0.382819912	0	0	0	0	0	0	0	0	0
ENSG00000038382	TRIO	Atlas_Analysis	0.795596739	0.269890397	0.856894152	0.887164296	0.410578489	0.28108657	0.025413225	0.287422289	0	0	0	0	0	0	0	0	0
ENSG00000038427	VCAN	Atlas_Analysis	-0.716156533	0.007351323	-0.180332752	0.158892513	-0.226972091	1.616194333	1.662104122	-0.08808993	0	0	0	0	0	0	0	0	0
ENSG00000038532	CLEC16A	Atlas_Analysis	0.03213073	-0.074457285	0.037253586	0.074246664	0.789135465	0.855633634	0.606320524	0.304171755	0	0	0	0	1	0	0	0	0
ENSG00000039319	ZFYVE16	Atlas_Analysis	0.36268231	0.723091677	0.430069827	-0.349867589	0.110030536	1.723914063	0.744364935	-0.181834146	0	0	0	0	0	0	0	0	0
ENSG00000039560	RAI14	Atlas_Analysis	-0.102623472	0.53131568	-0.017487533	-0.173576281	0.826861568	0.382301625	-0.018098627	-0.273733395	0	0	0	0	0	0	0	0	0
ENSG00000039650	PNKP	Atlas_Analysis	1.532711072	0.612901304	0.816867083	0.536419588	-0.564004625	-1.547587039	-0.318860389	0.611288921	0	0	0	0	0	0	0	0	0
ENSG00000040487	PQLC2	Atlas_Analysis	-0.392659035	-1.455020271	-0.300451777	0.51352525	-0.140022619	1.08429401	0.65045945	0.293246264	0	0	0	0	0	0	0	0	0
ENSG00000040531	CTNS	Atlas_Analysis	-0.146329477	-0.433426399	-0.337149432	0.266053789	-0.380123887	1.042595824	1.216297437	-0.037225165	0	0	0	0	0	0	0	0	0
ENSG00000040933	INPP4A	Atlas_Analysis	0.735244999	0.705468898	0.918381814	0.063467207	0.508081167	0.405944248	0.367426266	0.185434051	0	0	0	0	0	0	0	0	0
ENSG00000042445	RETSAT	Atlas_Analysis	0.155454171	-0.414580649	0.343255808	0.304546047	-0.561626895	1.207189365	1.588595693	0.229313849	0	0	0	0	0	0	0	0	0
ENSG00000044090	CUL7	Atlas_Analysis	0.252819783	-0.753568478	0.027646555	0.850462717	0.174162026	-1.734323809	0.174111363	0.295691617	0	0	0	0	0	0	0	0	0
ENSG00000044446	PHKA2	Atlas_Analysis	1.159886976	0.723152748	0.874693859	0.638200153	0.170098435	-0.125064841	-0.030687959	0.341827553	0	0	0	0	0	0	0	0	0
